zip,primary_city,state,timezone,area_codes,country,county
501,Holtsville,NY,America/New_York,631,US,Suffolk County
544,Holtsville,NY,America/New_York,631,US,Suffolk County
601,Adjuntas,PR,America/Puerto_Rico,"787,939",US,Adjuntas
602,Aguada,PR,,787,US,Aguada
603,Aguadilla,PR,America/Puerto_Rico,787,US,Aguadilla
604,Aguadilla,PR,,,US,Aguadilla
605,Aguadilla,PR,,,US,Aguadilla
606,Maricao,PR,America/Puerto_Rico,"787,939",US,Maricao
610,Anasco,PR,,787,US,Añasco
611,Angeles,PR,,,US,Añasco
612,Arecibo,PR,America/Puerto_Rico,787,US,Arecibo
613,Arecibo,PR,,,US,Arecibo
614,Arecibo,PR,,,US,Arecibo
616,Bajadero,PR,America/Puerto_Rico,,US,Arecibo
617,Barceloneta,PR,America/Puerto_Rico,787,US,Barceloneta
622,Boqueron,PR,,787,US,Cabo Rojo
623,Cabo Rojo,PR,,787,US,Cabo Rojo
624,Penuelas,PR,,787,US,Peñuelas
627,Camuy,PR,,787,US,Camuy
631,Castaner,PR,,,US,Lares
636,Rosario,PR,,,US,Lares
637,Sabana Grande,PR,,787,US,Sabana Grande
638,Ciales,PR,,787,US,Ciales
641,Utuado,PR,,787,US,Utuado
646,Dorado,PR,,787,US,Dorado
647,Ensenada,PR,,,US,Guánica
650,Florida,PR,,"787,939",US,Florida
652,Garrochales,PR,America/Puerto_Rico,787,US,Arecibo
653,Guanica,PR,,787,US,Guánica
656,Guayanilla,PR,,787,US,Guayanilla
659,Hatillo,PR,,,US,Hatillo
660,Hormigueros,PR,,787,US,Hormigueros
662,Isabela,PR,,787,US,Isabela
664,Jayuya,PR,,787,US,Jayuya
667,Lajas,PR,,"787,939",US,Lajas
669,Lares,PR,,787,US,Lares
670,Las Marias,PR,,"787,939",US,Las Marías
674,Manati,PR,,787,US,Manatí
676,Moca,PR,,787,US,Moca
677,Rincon,PR,,"787,939",US,Rincón
678,Quebradillas,PR,,787,US,Quebradillas
680,Mayaguez,PR,,787,US,Mayagüez
681,Mayaguez,PR,,,US,Mayagüez
